id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
1,300 000₽,Kawasaki KX 250F,148 км,Кроссовый,2015,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,22 ноября
2,98 000₽,Suzuki GN 125,2 677 км,Классика,2008,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
3,595 000₽,Suzuki V-Strom DL650A,2 км,Эндуро,2014,645 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
4,100 000₽,Honda CB 400SF,45 000 км,Классика,1993,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
5,190 000₽,Kawasaki KLX 250,17 854 км,Эндуро,2011,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
6,250 000₽,Kawasaki W650,48 000 км,Классика,2001,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
7,250 000₽,Honda CB 1300,24 065 км,Классика,1998,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
8,78 000₽,Honda VT 250F,3 372 км,Спорт-турист,1996,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
9,235 000₽,Honda CBR 600F,23 593 км,Спорт-турист,2001,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
10,90 000₽,Yamaha FZ 6,12 000 км,Классика,2008,600 куб. см.,4х тактный,Исправен,Без ПТС,Москва,22 ноября
11,35 000₽,Centurion Bitrix,1 200 км,Спортивный,2014,150 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
12,175 000₽,Honda XR 250R,12 000 км,Эндуро,2001,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 ноября
13,285 000₽,Suzuki VL1500 Intruder,37 000 км,Чоппер,1999,1 500 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 ноября
14,1 100 000₽,Harley-Davidson Heritage Springer FLSTS,43 000 км,None,1998,1 340 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 ноября
15,180 000₽,KTM 85 SX,50 км,Кроссовый,2016,85 куб. см.,2х тактный,Исправен,Без ПТС,Москва,21 ноября
16,210 000₽,Honda VT 750,78 000 км,Круизер,2001,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 ноября
17,350 000₽,Kawasaki VN Vulcan 900,19 175 км,Чоппер,2008,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 ноября
18,100 000₽,Kawasaki ZZR 400 2,32 000 км,Спорт-турист,1999,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 ноября
19,799 000₽,Harley-Davidson Rocker C FXCWC,15 000 км,Чоппер,2011,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
20,250 000₽,Honda XL 1000V Varadero,107 000 км,Туристический,2002,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
21,350 000₽,Yamaha XJ,22 446 км,Спорт-турист,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
